"","country","date","hhi_cumulative","hhi_new"
"1","France",2020-01-01,0,0
"2","France",2020-01-02,0,0
"3","France",2020-01-03,0,0
"4","France",2020-01-04,0,0
"5","France",2020-01-05,0,0
"6","France",2020-01-06,0,0
"7","France",2020-01-07,0,0
"8","France",2020-01-08,0,0
"9","France",2020-01-09,0,0
"10","France",2020-01-10,0,0
"11","France",2020-01-11,0,0
"12","France",2020-01-12,0,0
"13","France",2020-01-13,0,0
"14","France",2020-01-14,0,0
"15","France",2020-01-15,0,0
"16","France",2020-01-16,0,0
"17","France",2020-01-17,0,0
"18","France",2020-01-18,0,0
"19","France",2020-01-19,0,0
"20","France",2020-01-20,0,0
"21","France",2020-01-21,0,0
"22","France",2020-01-22,0,0
"23","France",2020-01-23,0,0
"24","France",2020-01-24,1,1
"25","France",2020-01-25,1,1
"26","France",2020-01-26,1,0
"27","France",2020-01-27,1,0
"28","France",2020-01-28,1,1
"29","France",2020-01-29,1,1
"30","France",2020-01-30,1,0
"31","France",2020-01-31,1,0
"32","France",2020-02-01,1,1
"33","France",2020-02-02,1,0
"34","France",2020-02-03,1,0
"35","France",2020-02-04,1,0
"36","France",2020-02-05,1,0
"37","France",2020-02-06,1,0
"38","France",2020-02-07,1,0
"39","France",2020-02-08,1,1
"40","France",2020-02-09,1,0
"41","France",2020-02-10,1,0
"42","France",2020-02-11,1,0
"43","France",2020-02-12,1,0
"44","France",2020-02-13,1,0
"45","France",2020-02-14,1,0
"46","France",2020-02-15,1,1
"47","France",2020-02-16,1,0
"48","France",2020-02-17,1,0
"49","France",2020-02-18,1,0
"50","France",2020-02-19,1,0
"51","France",2020-02-20,1,0
"52","France",2020-02-21,1,0
"53","France",2020-02-22,1,0
"54","France",2020-02-23,1,0
"55","France",2020-02-24,1,0
"56","France",2020-02-25,1,1
"57","France",2020-02-26,1,1
"58","France",2020-02-27,1,1
"59","France",2020-02-28,1,1
"60","France",2020-02-29,1,1
"61","France",2020-03-01,1,1
"62","France",2020-03-02,1.13623530056742,2.33566245632894
"63","France",2020-03-03,1.17644655901576,3.01775147928994
"64","France",2020-03-04,1.15029855340105,1.16902911141594
"65","France",2020-03-05,1.17069704282729,1.34274574669187
"66","France",2020-03-06,1.11769685911883,1.08036651963873
"67","France",2020-03-07,1.15061608858973,1.26168736303871
"68","France",2020-03-08,1.17146787225249,1.42685690574228
"69","France",2020-03-09,1.2232545952229,2.95224270576281
"70","France",2020-03-10,1.14505966086187,1.04045066162571
"71","France",2020-03-11,1.14975953115928,1.18485966098401
"72","France",2020-03-12,1.22513910828853,0
