casConfirmes,deces,date,code,nom,gueris,reanimation,testsRealises,testsPositifs,hospitalises,tauxIncidence,tauxReproductionEffectif,tauxOccupationRea,tauxPositiviteTests,nouvellesHospitalisations,nouvellesReanimations,decesEhpad,casConfirmesEhpad,casPossiblesEhpad
191,3,2020-03-02,FRA,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,4,2020-03-03,FRA,France,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,4,2020-03-04,FRA,France,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,7,2020-03-05,FRA,France,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613,9,2020-03-06,FRA,France,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
949,16,2020-03-07,FRA,France,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1126,19,2020-03-08,FRA,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1412,25,2020-03-09,FRA,France,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1784,33,2020-03-10,FRA,France,NA,86,79,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2281,48,2020-03-11,FRA,France,NA,105,108,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2876,61,2020-03-12,FRA,France,NA,129,157,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3661,79,2020-03-13,FRA,France,NA,NA,350,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4500,91,2020-03-14,FRA,France,NA,300,167,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5423,127,2020-03-15,FRA,France,NA,NA,174,49,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
6633,148,2020-03-16,FRA,France,NA,NA,819,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7730,175,2020-03-17,FRA,France,602,699,1011,223,2579,NA,NA,NA,NA,NA,NA,NA,NA,NA
9134,264,2020-03-18,FRA,France,1000,931,1571,394,3626,NA,NA,15.2,NA,NA,NA,NA,NA,NA
10995,372,2020-03-19,FRA,France,1300,1122,2098,528,4461,5.57082271463596,NA,19.8,NA,2229,438,NA,NA,NA
12612,450,2020-03-20,FRA,France,1587,1297,2454,705,5226,8.4039498982035,NA,25.6,NA,1256,242,NA,NA,NA
14459,562,2020-03-21,FRA,France,1811,1525,783,264,6172,11.0134091462262,NA,28.7,NA,1540,298,NA,NA,NA
16689,674,2020-03-22,FRA,France,2200,1746,555,250,7240,13.6005016006945,NA,33.1,NA,1534,309,NA,NA,NA
19856,860,2020-03-23,FRA,France,2567,2082,4369,1285,8675,18.2826170514324,NA,41.1,NA,2053,448,NA,NA,NA
22302,1100,2020-03-24,FRA,France,3281,2516,4960,1385,10176,23.9190490271615,NA,49.5,NA,2618,571,NA,NA,NA
25233,1331,2020-03-25,FRA,France,3900,2827,5161,1363,11539,30.0848284503467,NA,58,NA,3166,607,NA,NA,NA
29155,1696,2020-03-26,FRA,France,4948,3375,5716,1573,13904,32.9373401883281,NA,66.3,NA,3097,612,NA,NA,NA
32964,1995,2020-03-27,FRA,France,5698,3787,6533,1588,15732,36.9424873541504,NA,74.3,NA,3059,608,NA,NA,NA
37575,2314,2020-03-28,FRA,France,6624,4273,1894,523,17620,40.0320871038093,NA,83.7,NA,3353,695,NA,NA,NA
40174,2606,2020-03-29,FRA,France,7131,4632,604,228,19354,41.7155610986766,NA,90.8,NA,2685,543,NA,NA,NA
44550,3024,2020-03-30,FRA,France,7924,5107,8169,1918,21008,44.2325709333408,NA,100,NA,3108,694,NA,NA,NA
52128,3523,2020-03-31,FRA,France,9444,5565,8051,1792,22757,47.1178873018688,NA,108.7,NA,4146,767,NA,NA,NA
56989,4032,2020-04-01,FRA,France,10935,6017,7319,1467,24639,48.9355620580629,NA,117.4,NA,4281,771,371,NA,NA
59105,4503,2020-04-02,FRA,France,12428,6399,7375,1579,26246,50.0598662140681,NA,124.7,NA,3845,728,884,NA,NA
64338,5091,2020-04-03,FRA,France,14008,6662,8237,1668,27432,51.0261116956217,NA,129.6,NA,3627,640,1416,NA,NA
68605,5532,2020-04-04,FRA,France,15438,6838,1675,345,28143,49.9689079202799,NA,132.9,NA,2822,502,2028,NA,NA
70478,5889,2020-04-05,FRA,France,16183,6978,377,120,28891,48.6835628506824,NA,135.6,NA,1931,390,2189,NA,NA
74390,6494,2020-04-06,FRA,France,17250,7072,7611,1502,29722,47.5354007815524,NA,137.4,NA,2754,478,2417,NA,NA
78167,7091,2020-04-07,FRA,France,19337,7131,7790,1429,30027,45.6983414709444,NA,138.5,NA,3277,518,3237,NA,NA
82048,7632,2020-04-08,FRA,France,21254,7148,10059,1691,30375,44.3294937054102,NA,138.8,NA,3139,482,3237,NA,NA
86334,8044,2020-04-09,FRA,France,23206,7066,10603,1589,30767,43.0694976685078,NA,137.1,NA,2990,369,4166,NA,NA
90676,8598,2020-04-10,FRA,France,24932,7004,11527,1932,31267,42.7682915153075,NA,135.9,NA,3161,431,4599,NA,NA
93790,8943,2020-04-11,FRA,France,26391,6883,1636,242,31320,41.4546151738743,NA,133.5,NA,2044,255,4889,NA,NA
