ADE,AGS,AGS_0,BEM,BEZ,BL,BL_ID,BSG,DEBKG_ID,EWZ,FK_S3,GEN,GF,IBZ,KFL,NBD,NUTS,OBJECTID,RS,RS_0,SDV_RS,SN_G,SN_K,SN_L,SN_R,SN_V1,SN_V2,Shape__Area,Shape__Length,WSK,cases,cases7_per_100k,cases_per_100k,cases_per_population,county,death_rate,deaths,last_update,recovered
4.0,09377,09377000,--,Landkreis,Bayern,9,1.0,DEBKGDL20000E0ED,72504.0,R,Tirschenreuth,4.0,43.0,1084.24,ja,DE23A,267.0,09377,093770000000,093770154154,000,77,09,3,00,00,1085085479.13037,229297.914308778,2009/01/01 00:00:00.000,1142.0,0.0,1575.08551252345,1.57508551252345,LK Tirschenreuth,12.1716287215412,139.0,"20.07.2020, 00:00 Uhr",
4.0,09263,09263000,--,Kreisfreie Stadt,Bayern,9,1.0,DEBKGDL20000E70T,47794.0,R,Straubing,4.0,40.0,67.59,ja,DE223,248.0,09263,092630000000,092630000000,000,63,09,2,00,00,67694276.4587402,55287.1931268913,1972/07/01 00:00:00.000,442.0,8.36925137046491,924.802276436373,0.924802276436373,SK Straubing,10.8597285067873,48.0,"20.07.2020, 00:00 Uhr",
4.0,09479,09479000,--,Landkreis,Bayern,9,1.0,DEBKGDL20000E3J6,73178.0,R,Wunsiedel i. Fichtelgebirge,4.0,43.0,606.37,ja,DE24D,280.0,09479,094790000000,094790169169,000,79,09,4,00,00,606390338.476074,147471.538024539,2009/01/01 00:00:00.000,665.0,5.46612369837929,908.743064855558,0.908743064855558,LK Wunsiedel i.Fichtelgebirge,6.16541353383459,41.0,"20.07.2020, 00:00 Uhr",
4.0,09374,09374000,--,Landkreis,Bayern,9,1.0,DEBKGDL20000E6QG,94352.0,R,Neustadt a.d. Waldnaab,4.0,43.0,1427.68,ja,DE237,264.0,09374,093740000000,093740139139,000,74,09,3,00,00,1428806733.14478,385595.596550411,2017/07/01 00:00:00.000,841.0,1.05986094624385,891.34305579108,0.89134305579108,LK Neustadt a.d.Waldnaab,8.68014268727705,73.0,"20.07.2020, 00:00 Uhr",
4.0,09187,09187000,--,Landkreis,Bayern,9,1.0,DEBKGDL20000DZTP,260983.0,R,Rosenheim,4.0,43.0,1439.45,ja,DE21K,242.0,09187,091870000000,091630000000,000,87,09,1,00,00,1441414860.15088,378158.132107578,2004/12/31 00:00:00.000,2312.0,1.14950015901419,885.881455880268,0.885881455880268,LK Rosenheim,8.60726643598616,199.0,"20.07.2020, 00:00 Uhr",
4.0,09163,09163000,--,Kreisfreie Stadt,Bayern,9,1.0,DEBKGDL20000E2LU,63324.0,R,Rosenheim,4.0,40.0,37.22,ja,DE213,225.0,09163,091630000000,091630000000,000,63,09,1,00,00,36785175.7854004,30796.8419045027,2004/12/31 00:00:00.000,527.0,4.73754026909229,832.227907270545,0.832227907270545,SK Rosenheim,4.36432637571157,23.0,"20.07.2020, 00:00 Uhr",
4.0,09363,09363000,--,Kreisfreie Stadt,Bayern,9,1.0,DEBKGDL20000E0QG,42520.0,R,Weiden i.d. OPf.,4.0,40.0,70.57,ja,DE233,260.0,09363,093630000000,093630000000,000,63,09,3,00,00,70626636.8156738,71580.49607382,2011/06/01 00:00:00.000,339.0,0.0,797.271872060207,0.797271872060207,SK Weiden i.d.OPf.,5.89970501474926,20.0,"20.07.2020, 00:00 Uhr",
4.0,05370,05370000,--,Kreis,Nordrhein-Westfalen,5,1.0,DEBKGDL20000DX0T,254322.0,R,Heinsberg,4.0,42.0,627.92,ja,DEA29,86.0,05370,053700000000,053700016016,000,70,05,3,00,00,627310851.182861,166217.280069434,2009/01/01 00:00:00.000,1967.0,3.93202318320869,773.428960137149,0.773428960137149,LK Heinsberg,4.11794611082867,81.0,"20.07.2020, 00:00 Uhr",
4.0,09189,09189000,--,Landkreis,Bayern,9,1.0,DEBKGDL20000E2VS,177089.0,R,Traunstein,4.0,43.0,1533.83,ja,DE21M,244.0,09189,091890000000,091890155155,000,89,09,1,00,00,1534422069.38501,316009.745884178,2009/01/01 00:00:00.000,1308.0,0.564687812342946,738.611658544574,0.738611658544574,LK Traunstein,6.72782874617737,88.0,"20.07.2020, 00:00 Uhr",
4.0,05754,05754000,--,Kreis,Nordrhein-Westfalen,5,1.0,DEBKGDL20000E453,364083.0,R,Gütersloh,4.0,42.0,969.21,ja,DEA42,99.0,05754,057540000000,057540008008,000,54,05,7,00,00,968786895.673096,210976.880228164,2009/01/01 00:00:00.000,2606.0,11.810493761038,715.770854448024,0.715770854448024,LK Gütersloh,0.767459708365311,20.0,"20.07.2020, 00:00 Uhr",
