AnzahlFall,FID,Meldedatum,NeuerFall
1.0,11510062.0,2020-03-02 01:00:00,0.0
1.0,11513194.0,2020-03-02 01:00:00,0.0
2.0,11520154.0,2020-03-02 01:00:00,0.0
1.0,11529550.0,2020-03-02 01:00:00,0.0
1.0,11534422.0,2020-03-02 01:00:00,0.0
1.0,11535814.0,2020-03-02 01:00:00,0.0
1.0,11536510.0,2020-03-02 01:00:00,0.0
1.0,11536858.0,2020-03-02 01:00:00,0.0
9.0,11537902.0,2020-03-02 01:00:00,0.0
1.0,11538598.0,2020-03-02 01:00:00,0.0
1.0,11540338.0,2020-03-02 01:00:00,0.0
3.0,11549038.0,2020-03-02 01:00:00,0.0
1.0,11551126.0,2020-03-02 01:00:00,0.0
1.0,11571310.0,2020-03-02 01:00:00,0.0
1.0,11571658.0,2020-03-02 01:00:00,0.0
5.0,11572702.0,2020-03-02 01:00:00,0.0
2.0,11576530.0,2020-03-02 01:00:00,0.0
1.0,11583142.0,2020-03-02 01:00:00,0.0
3.0,11585926.0,2020-03-02 01:00:00,0.0
1.0,11588014.0,2020-03-02 01:00:00,0.0
2.0,11606806.0,2020-03-02 01:00:00,0.0
1.0,11637430.0,2020-03-02 01:00:00,0.0
1.0,11511108.0,2020-03-03 01:00:00,0.0
3.0,11513544.0,2020-03-03 01:00:00,0.0
1.0,11517372.0,2020-03-03 01:00:00,0.0
2.0,11520156.0,2020-03-03 01:00:00,0.0
2.0,11521896.0,2020-03-03 01:00:00,0.0
1.0,11525376.0,2020-03-03 01:00:00,0.0
2.0,11529552.0,2020-03-03 01:00:00,0.0
1.0,11534424.0,2020-03-03 01:00:00,0.0
1.0,11534772.0,2020-03-03 01:00:00,0.0
6.0,11535816.0,2020-03-03 01:00:00,0.0
17.0,11537904.0,2020-03-03 01:00:00,0.0
1.0,11538252.0,2020-03-03 01:00:00,0.0
2.0,11538600.0,2020-03-03 01:00:00,0.0
2.0,11538948.0,2020-03-03 01:00:00,0.0
3.0,11550084.0,2020-03-03 01:00:00,0.0
1.0,11551476.0,2020-03-03 01:00:00,0.0
1.0,11563656.0,2020-03-03 01:00:00,0.0
6.0,11570964.0,2020-03-03 01:00:00,0.0
5.0,11572008.0,2020-03-03 01:00:00,0.0
1.0,11572356.0,2020-03-03 01:00:00,0.0
1.0,11574444.0,2020-03-03 01:00:00,0.0
1.0,11575488.0,2020-03-03 01:00:00,0.0
1.0,11576880.0,2020-03-03 01:00:00,0.0
3.0,11579316.0,2020-03-03 01:00:00,0.0
1.0,11581752.0,2020-03-03 01:00:00,0.0
2.0,11583144.0,2020-03-03 01:00:00,0.0
2.0,11583492.0,2020-03-03 01:00:00,0.0
1.0,11584884.0,2020-03-03 01:00:00,0.0
1.0,11585928.0,2020-03-03 01:00:00,0.0
1.0,11588016.0,2020-03-03 01:00:00,0.0
2.0,11591148.0,2020-03-03 01:00:00,0.0
1.0,11596020.0,2020-03-03 01:00:00,0.0
1.0,11617596.0,2020-03-03 01:00:00,0.0
3.0,11621076.0,2020-03-03 01:00:00,0.0
1.0,11623164.0,2020-03-03 01:00:00,0.0
1.0,11623512.0,2020-03-03 01:00:00,0.0
1.0,11624208.0,2020-03-03 01:00:00,0.0
2.0,11633604.0,2020-03-03 01:00:00,0.0
1.0,11650656.0,2020-03-03 01:00:00,0.0
1.0,11513546.0,2020-03-04 01:00:00,0.0
1.0,11517374.0,2020-03-04 01:00:00,0.0
1.0,11524334.0,2020-03-04 01:00:00,0.0
1.0,11527118.0,2020-03-04 01:00:00,0.0
1.0,11527466.0,2020-03-04 01:00:00,0.0
2.0,11530250.0,2020-03-04 01:00:00,0.0
1.0,11530598.0,2020-03-04 01:00:00,0.0
2.0,11531642.0,2020-03-04 01:00:00,0.0
3.0,11534426.0,2020-03-04 01:00:00,0.0
2.0,11535818.0,2020-03-04 01:00:00,0.0
16.0,11536514.0,2020-03-04 01:00:00,0.0
2.0,11536862.0,2020-03-04 01:00:00,0.0
45.0,11537906.0,2020-03-04 01:00:00,0.0
1.0,11538950.0,2020-03-04 01:00:00,0.0
2.0,11539994.0,2020-03-04 01:00:00,0.0
10.0,11540690.0,2020-03-04 01:00:00,0.0
1.0,11543474.0,2020-03-04 01:00:00,0.0
1.0,11544518.0,2020-03-04 01:00:00,0.0
2.0,11546954.0,2020-03-04 01:00:00,0.0
1.0,11549042.0,2020-03-04 01:00:00,0.0
1.0,11551130.0,2020-03-04 01:00:00,0.0
1.0,11557742.0,2020-03-04 01:00:00,0.0
1.0,11564702.0,2020-03-04 01:00:00,0.0
1.0,11567138.0,2020-03-04 01:00:00,0.0
1.0,11567834.0,2020-03-04 01:00:00,0.0
1.0,11570270.0,2020-03-04 01:00:00,0.0
4.0,11570966.0,2020-03-04 01:00:00,0.0
1.0,11571314.0,2020-03-04 01:00:00,0.0
2.0,11571662.0,2020-03-04 01:00:00,0.0
4.0,11572706.0,2020-03-04 01:00:00,0.0
1.0,11573750.0,2020-03-04 01:00:00,0.0
2.0,11574446.0,2020-03-04 01:00:00,0.0
2.0,11576186.0,2020-03-04 01:00:00,0.0
2.0,11576534.0,2020-03-04 01:00:00,0.0
1.0,11576882.0,2020-03-04 01:00:00,0.0
1.0,11579318.0,2020-03-04 01:00:00,0.0
1.0,11579666.0,2020-03-04 01:00:00,0.0
1.0,11580014.0,2020-03-04 01:00:00,0.0
9.0,11583146.0,2020-03-04 01:00:00,0.0
1.0,11583494.0,2020-03-04 01:00:00,0.0
3.0,11583842.0,2020-03-04 01:00:00,0.0
1.0,11584538.0,2020-03-04 01:00:00,0.0
1.0,11585234.0,2020-03-04 01:00:00,0.0
3.0,11585930.0,2020-03-04 01:00:00,0.0
1.0,11589062.0,2020-03-04 01:00:00,0.0
1.0,11596022.0,2020-03-04 01:00:00,0.0
1.0,11599154.0,2020-03-04 01:00:00,0.0
2.0,11606810.0,2020-03-04 01:00:00,0.0
1.0,11609246.0,2020-03-04 01:00:00,0.0
1.0,11615510.0,2020-03-04 01:00:00,0.0
2.0,11621426.0,2020-03-04 01:00:00,0.0
1.0,11621774.0,2020-03-04 01:00:00,0.0
1.0,11632214.0,2020-03-04 01:00:00,0.0
1.0,11632910.0,2020-03-04 01:00:00,0.0
1.0,11509720.0,2020-03-05 01:00:00,0.0
5.0,11513548.0,2020-03-05 01:00:00,0.0
1.0,11513896.0,2020-03-05 01:00:00,0.0
3.0,11519812.0,2020-03-05 01:00:00,0.0
1.0,11522596.0,2020-03-05 01:00:00,0.0
1.0,11528164.0,2020-03-05 01:00:00,0.0
1.0,11531644.0,2020-03-05 01:00:00,0.0
2.0,11534776.0,2020-03-05 01:00:00,0.0
6.0,11535820.0,2020-03-05 01:00:00,0.0
15.0,11536516.0,2020-03-05 01:00:00,0.0
1.0,11537212.0,2020-03-05 01:00:00,0.0
1.0,11537560.0,2020-03-05 01:00:00,0.0
55.0,11537908.0,2020-03-05 01:00:00,0.0
3.0,11538256.0,2020-03-05 01:00:00,0.0
1.0,11538952.0,2020-03-05 01:00:00,0.0
2.0,11539648.0,2020-03-05 01:00:00,0.0
1.0,11539996.0,2020-03-05 01:00:00,0.0
4.0,11540344.0,2020-03-05 01:00:00,0.0
1.0,11540692.0,2020-03-05 01:00:00,0.0
2.0,11544868.0,2020-03-05 01:00:00,0.0
1.0,11546956.0,2020-03-05 01:00:00,0.0
1.0,11548348.0,2020-03-05 01:00:00,0.0
2.0,11549044.0,2020-03-05 01:00:00,0.0
1.0,11552872.0,2020-03-05 01:00:00,0.0
1.0,11553568.0,2020-03-05 01:00:00,0.0
1.0,11554960.0,2020-03-05 01:00:00,0.0
1.0,11557048.0,2020-03-05 01:00:00,0.0
1.0,11557744.0,2020-03-05 01:00:00,0.0
2.0,11570272.0,2020-03-05 01:00:00,0.0
2.0,11570620.0,2020-03-05 01:00:00,0.0
5.0,11570968.0,2020-03-05 01:00:00,0.0
2.0,11571664.0,2020-03-05 01:00:00,0.0
1.0,11572012.0,2020-03-05 01:00:00,0.0
1.0,11572360.0,2020-03-05 01:00:00,0.0
5.0,11572708.0,2020-03-05 01:00:00,0.0
1.0,11573056.0,2020-03-05 01:00:00,0.0
5.0,11573752.0,2020-03-05 01:00:00,0.0
1.0,11576536.0,2020-03-05 01:00:00,0.0
1.0,11577232.0,2020-03-05 01:00:00,0.0
1.0,11577928.0,2020-03-05 01:00:00,0.0
1.0,11579320.0,2020-03-05 01:00:00,0.0
3.0,11580016.0,2020-03-05 01:00:00,0.0
2.0,11583148.0,2020-03-05 01:00:00,0.0
2.0,11584540.0,2020-03-05 01:00:00,0.0
1.0,11584888.0,2020-03-05 01:00:00,0.0
2.0,11585932.0,2020-03-05 01:00:00,0.0
1.0,11589064.0,2020-03-05 01:00:00,0.0
1.0,11590456.0,2020-03-05 01:00:00,0.0
2.0,11591152.0,2020-03-05 01:00:00,0.0
1.0,11592544.0,2020-03-05 01:00:00,0.0
1.0,11593240.0,2020-03-05 01:00:00,0.0
3.0,11606116.0,2020-03-05 01:00:00,0.0
1.0,11606812.0,2020-03-05 01:00:00,0.0
2.0,11607856.0,2020-03-05 01:00:00,0.0
1.0,11610640.0,2020-03-05 01:00:00,0.0
1.0,11611336.0,2020-03-05 01:00:00,0.0
2.0,11616904.0,2020-03-05 01:00:00,0.0
1.0,11618644.0,2020-03-05 01:00:00,0.0
4.0,11621080.0,2020-03-05 01:00:00,0.0
2.0,11621428.0,2020-03-05 01:00:00,0.0
2.0,11621776.0,2020-03-05 01:00:00,0.0
2.0,11624908.0,2020-03-05 01:00:00,0.0
2.0,11627692.0,2020-03-05 01:00:00,0.0
1.0,11632912.0,2020-03-05 01:00:00,0.0
1.0,11511114.0,2020-03-06 01:00:00,0.0
1.0,11512506.0,2020-03-06 01:00:00,0.0
3.0,11513550.0,2020-03-06 01:00:00,0.0
