date,region,cases,cases_national,country,eurostat_total_population_2019,code,new_cases,new_cases_national,sum_pop,cases_pop_sub,cases_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2
2020-01-01,Auvergne-Rhone-Alpes,0,0,France,8005882,FRK,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Bourgogne-Franche-Comté,0,0,France,2793333,FRC,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Brittany,0,0,France,3333720,FRH,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Centre-Val de Loire,0,0,France,2565258,FRB,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Corsica,0,0,France,341554,FRM,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Grand Est,0,0,France,5525291,FRF,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Guadeloupe,0,0,France,416474,FRY1,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Guyane,0,0,France,283539,FRY3,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Hauts-de-France,0,0,France,5977437,FRE,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Ile-de-France,0,0,France,12244807,FR1,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,La Réunion,0,0,France,857961,FRY4,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Martinique,0,0,France,363484,FRY2,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Mayotte,0,0,France,269471,FRY5,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Normandy,0,0,France,3313340,FRD,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Nouvelle-Aquitaine,0,0,France,5986318,FRI,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Occitanie,0,0,France,5899209,FRJ,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Pays de la Loire,0,0,France,3787400,FRG,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Provence-Alpes-Côte d'Azur,0,0,France,5048405,FRL,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA
2020-01-01,Baden-Wuerttemberg,0,0,Germany,11069533,DE1,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Bavaria,0,0,Germany,13076721,DE2,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Berlin,0,0,Germany,3644826,DE3,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Brandenburg,0,0,Germany,2511917,DE4,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Bremen,0,0,Germany,682986,DE5,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Hamburg,0,0,Germany,1841179,DE6,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Hesse,0,0,Germany,6265809,DE7,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Lower Saxony,0,0,Germany,7982448,DE9,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Mecklenburg-Vorpommern,0,0,Germany,1609675,DE8,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,North Rhine-Westphalia,0,0,Germany,17932651,DEA,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Rheinland-Pfalz,0,0,Germany,4084844,DEB,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Saarland,0,0,Germany,990509,DEC,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Saxony,0,0,Germany,4077937,DED,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Saxony-Anhalt,0,0,Germany,2208321,DEE,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Schleswig-Holstein,0,0,Germany,2896712,DEF,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Thuringia,0,0,Germany,2143145,DEG,NA,NA,83019213,0,0,0,NaN,NA,NaN,NA
2020-01-01,Abruzzo,0,0,Italy,1311580,ITF1,NA,NA,59287270,0,0,0,NaN,NA,NaN,NA
2020-01-01,Aosta Valley,0,0,Italy,125666,ITC2,NA,NA,59287270,0,0,0,NaN,NA,NaN,NA
2020-01-01,Apulia,0,0,Italy,4029053,ITF4,NA,NA,59287270,0,0,0,NaN,NA,NaN,NA
2020-01-01,Basilicate,0,0,Italy,562869,ITF5,NA,NA,59287270,0,0,0,NaN,NA,NaN,NA
2020-01-01,Calabria,0,0,Italy,1947131,ITF6,NA,NA,59287270,0,0,0,NaN,NA,NaN,NA
2020-01-01,Campania,0,0,Italy,5801692,ITF3,NA,NA,59287270,0,0,0,NaN,NA,NaN,NA
2020-01-01,Emilia-Romagna,0,0,Italy,4459477,ITH5,NA,NA,59287270,0,0,0,NaN,NA,NaN,NA
2020-01-01,Friuli Venezia Giulia,0,0,Italy,1215220,ITH4,NA,NA,59287270,0,0,0,NaN,NA,NaN,NA
2020-01-01,Lazio,0,0,Italy,5879082,ITI4,NA,NA,59287270,0,0,0,NaN,NA,NaN,NA
