date,region,cases,country,geo,eurostat_total_population_2019,cases_national
2020-01-01,Auvergne-Rhône-Alpes,0,France,FRK,8005882,0
2020-01-01,Bourgogne-Franche-Comté,0,France,FRC,2793333,0
2020-01-01,Bretagne,0,France,FRH,3333720,0
2020-01-01,Centre-Val de Loire,0,France,FRB,2565258,0
2020-01-01,Corse,0,France,FRM,341554,0
2020-01-01,Grand Est,0,France,FRF,5525291,0
2020-01-01,Guadeloupe,0,France,FRY1,416474,0
2020-01-01,Guyane,0,France,FRY3,283539,0
2020-01-01,Hauts-de-France,0,France,FRE,5977437,0
2020-01-01,Île-de-France,0,France,FR1,12244807,0
2020-01-01,La Réunion,0,France,FRY4,857961,0
2020-01-01,Martinique,0,France,FRY2,363484,0
2020-01-01,Mayotte,0,France,FRY5,269471,0
2020-01-01,Normandie,0,France,FRD,3313340,0
2020-01-01,Nouvelle-Aquitaine,0,France,FRI,5986318,0
2020-01-01,Occitanie,0,France,FRJ,5899209,0
2020-01-01,Pays de la Loire,0,France,FRG,3787400,0
2020-01-01,Provence-Alpes-Côte d'Azur,0,France,FRL,5048405,0
2020-01-01,Baden-Wuerttemberg,0,Germany,DE1,11069533,0
2020-01-01,Bavaria,0,Germany,DE2,13076721,0
2020-01-01,Berlin,0,Germany,DE3,3644826,0
2020-01-01,Brandenburg,0,Germany,DE4,2511917,0
2020-01-01,Bremen,0,Germany,DE5,682986,0
2020-01-01,Hamburg,0,Germany,DE6,1841179,0
2020-01-01,Hesse,0,Germany,DE7,6265809,0
2020-01-01,Lower Saxony,0,Germany,DE9,7982448,0
2020-01-01,Mecklenburg-Vorpommern,0,Germany,DE8,1609675,0
2020-01-01,North Rhine-Westphalia,0,Germany,DEA,17932651,0
2020-01-01,Rheinland-Pfalz,0,Germany,DEB,4084844,0
2020-01-01,Saarland,0,Germany,DEC,990509,0
2020-01-01,Saxony,0,Germany,DED,4077937,0
2020-01-01,Saxony-Anhalt,0,Germany,DEE,2208321,0
2020-01-01,Schleswig-Holstein,0,Germany,DEF,2896712,0
2020-01-01,Thuringia,0,Germany,DEG,2143145,0
2020-01-01,Abruzzo,0,Italy,ITF1,1311580,0
2020-01-01,Basilicata,0,Italy,ITF5,562869,0
2020-01-01,Calabria,0,Italy,ITF6,1947131,0
2020-01-01,Campania,0,Italy,ITF3,5801692,0
2020-01-01,Emilia-Romagna,0,Italy,ITH5,4459477,0
2020-01-01,Friuli Venezia Giulia,0,Italy,NA,NA,0
2020-01-01,Lazio,0,Italy,ITI4,5879082,0
2020-01-01,Liguria,0,Italy,ITC3,1550640,0
2020-01-01,Lombardia,0,Italy,ITC4,10060574,0
2020-01-01,Marche,0,Italy,ITI3,1525271,0
2020-01-01,Molise,0,Italy,ITF2,305617,0
2020-01-01,Piemonte,0,Italy,ITC1,4356406,0
2020-01-01,Puglia,0,Italy,ITF4,4029053,0
2020-01-01,Sardegna,0,Italy,ITG2,1639591,0
2020-01-01,Sicilia,0,Italy,ITG1,4999891,0
2020-01-01,Toscana,0,Italy,ITI1,3729641,0
2020-01-01,Trentino-Alto Adige,0,Italy,NA,1072276,0
2020-01-01,Umbria,0,Italy,ITI2,882015,0
2020-01-01,Valle d'Aosta,0,Italy,ITC2,125666,0
2020-01-01,Veneto,0,Italy,ITH3,4905854,0
2020-01-01,Aargau,0,Switzerland,CH033,678207,0
2020-01-01,Appenzell Ausserrhoden,0,Switzerland,CH053,55234,0
2020-01-01,Appenzell Innerrhoden,0,Switzerland,CH054,16145,0
2020-01-01,Basel-City,0,Switzerland,CH031,194766,0
2020-01-01,Basel-Landschaft,0,Switzerland,CH032,288132,0
2020-01-01,Bern,0,Switzerland,CH021,1034977,0
2020-01-01,Fribourg,0,Switzerland,CH022,318714,0
2020-01-01,Geneva,0,Switzerland,CH013,499480,0
2020-01-01,Glarus,0,Switzerland,CH051,40403,0
2020-01-01,Grisons,0,Switzerland,CH056,198379,0
2020-01-01,Jura,0,Switzerland,CH025,73419,0
2020-01-01,Lucerne,0,Switzerland,CH061,409557,0
2020-01-01,Neuchatel,0,Switzerland,CH024,176850,0
2020-01-01,Nidwalden,0,Switzerland,CH065,43223,0
2020-01-01,Obwalden,0,Switzerland,CH064,37841,0
2020-01-01,Saint Gallen,0,Switzerland,CH055,507697,0
2020-01-01,Schaffhausen,0,Switzerland,CH052,81991,0
2020-01-01,Schwyz,0,Switzerland,CH063,159165,0
2020-01-01,Solothurn,0,Switzerland,CH023,273194,0
2020-01-01,Thurgau,0,Switzerland,CH057,276472,0
2020-01-01,Ticino,0,Switzerland,CH070,353343,0
2020-01-01,Uri,0,Switzerland,CH062,36433,0
2020-01-01,Valais,0,Switzerland,CH012,343955,0
2020-01-01,Vaud,0,Switzerland,CH011,799145,0
2020-01-01,Zug,0,Switzerland,CH066,126837,0
2020-01-01,Zurich,0,Switzerland,CH040,1520968,0
2020-01-02,Auvergne-Rhône-Alpes,0,France,FRK,8005882,0
2020-01-02,Bourgogne-Franche-Comté,0,France,FRC,2793333,0
2020-01-02,Bretagne,0,France,FRH,3333720,0
2020-01-02,Centre-Val de Loire,0,France,FRB,2565258,0
2020-01-02,Corse,0,France,FRM,341554,0
2020-01-02,Grand Est,0,France,FRF,5525291,0
2020-01-02,Guadeloupe,0,France,FRY1,416474,0
2020-01-02,Guyane,0,France,FRY3,283539,0
2020-01-02,Hauts-de-France,0,France,FRE,5977437,0
2020-01-02,Île-de-France,0,France,FR1,12244807,0
2020-01-02,La Réunion,0,France,FRY4,857961,0
2020-01-02,Martinique,0,France,FRY2,363484,0
2020-01-02,Mayotte,0,France,FRY5,269471,0
2020-01-02,Normandie,0,France,FRD,3313340,0
2020-01-02,Nouvelle-Aquitaine,0,France,FRI,5986318,0
2020-01-02,Occitanie,0,France,FRJ,5899209,0
2020-01-02,Pays de la Loire,0,France,FRG,3787400,0
2020-01-02,Provence-Alpes-Côte d'Azur,0,France,FRL,5048405,0
2020-01-02,Baden-Wuerttemberg,0,Germany,DE1,11069533,0
2020-01-02,Bavaria,0,Germany,DE2,13076721,0
2020-01-02,Berlin,0,Germany,DE3,3644826,0
2020-01-02,Brandenburg,0,Germany,DE4,2511917,0
2020-01-02,Bremen,0,Germany,DE5,682986,0
2020-01-02,Hamburg,0,Germany,DE6,1841179,0
2020-01-02,Hesse,0,Germany,DE7,6265809,0
2020-01-02,Lower Saxony,0,Germany,DE9,7982448,0
2020-01-02,Mecklenburg-Vorpommern,0,Germany,DE8,1609675,0
2020-01-02,North Rhine-Westphalia,0,Germany,DEA,17932651,0
2020-01-02,Rheinland-Pfalz,0,Germany,DEB,4084844,0
2020-01-02,Saarland,0,Germany,DEC,990509,0
2020-01-02,Saxony,0,Germany,DED,4077937,0
2020-01-02,Saxony-Anhalt,0,Germany,DEE,2208321,0
2020-01-02,Schleswig-Holstein,0,Germany,DEF,2896712,0
2020-01-02,Thuringia,0,Germany,DEG,2143145,0
2020-01-02,Abruzzo,0,Italy,ITF1,1311580,0
2020-01-02,Basilicata,0,Italy,ITF5,562869,0
2020-01-02,Calabria,0,Italy,ITF6,1947131,0
2020-01-02,Campania,0,Italy,ITF3,5801692,0
2020-01-02,Emilia-Romagna,0,Italy,ITH5,4459477,0
2020-01-02,Friuli Venezia Giulia,0,Italy,NA,NA,0
2020-01-02,Lazio,0,Italy,ITI4,5879082,0
2020-01-02,Liguria,0,Italy,ITC3,1550640,0
2020-01-02,Lombardia,0,Italy,ITC4,10060574,0
2020-01-02,Marche,0,Italy,ITI3,1525271,0
2020-01-02,Molise,0,Italy,ITF2,305617,0
2020-01-02,Piemonte,0,Italy,ITC1,4356406,0
2020-01-02,Puglia,0,Italy,ITF4,4029053,0
2020-01-02,Sardegna,0,Italy,ITG2,1639591,0
2020-01-02,Sicilia,0,Italy,ITG1,4999891,0
2020-01-02,Toscana,0,Italy,ITI1,3729641,0
2020-01-02,Trentino-Alto Adige,0,Italy,NA,1072276,0
2020-01-02,Umbria,0,Italy,ITI2,882015,0
2020-01-02,Valle d'Aosta,0,Italy,ITC2,125666,0
2020-01-02,Veneto,0,Italy,ITH3,4905854,0
2020-01-02,Aargau,0,Switzerland,CH033,678207,0
2020-01-02,Appenzell Ausserrhoden,0,Switzerland,CH053,55234,0
2020-01-02,Appenzell Innerrhoden,0,Switzerland,CH054,16145,0
2020-01-02,Basel-City,0,Switzerland,CH031,194766,0
2020-01-02,Basel-Landschaft,0,Switzerland,CH032,288132,0
2020-01-02,Bern,0,Switzerland,CH021,1034977,0
2020-01-02,Fribourg,0,Switzerland,CH022,318714,0
2020-01-02,Geneva,0,Switzerland,CH013,499480,0
2020-01-02,Glarus,0,Switzerland,CH051,40403,0
2020-01-02,Grisons,0,Switzerland,CH056,198379,0
2020-01-02,Jura,0,Switzerland,CH025,73419,0
2020-01-02,Lucerne,0,Switzerland,CH061,409557,0
2020-01-02,Neuchatel,0,Switzerland,CH024,176850,0
2020-01-02,Nidwalden,0,Switzerland,CH065,43223,0
2020-01-02,Obwalden,0,Switzerland,CH064,37841,0
2020-01-02,Saint Gallen,0,Switzerland,CH055,507697,0
