"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/TOTAL","Total - all NACE activities","","TOTAL","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A-T","All NACE activities (except extra-territorial organisations and bodies)","","A-T","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A-S","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","","A-S","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A_X_RL","All NACE activities (except railways)","","A_X_RL","invalid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/NAFT","All NACE activities (except agriculture, fishing and transport) - Non AFT","","NAFT","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A_B","Agriculture, forestry and fishing; mining and quarrying","","A_B","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A_C-N","Agriculture; industry and construction (except mining); services of the business economy","","A_C-N","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A","Agriculture, forestry and fishing","","A","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A01_A02","Agriculture and forestry","","A01_A02","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/AFT","Agriculture, fishing and transport (except railways) - AFT","","AFT","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A01_A02_X_A017","Agriculture and forestry (except hunting)","","A01_A02_X_A017","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A01","Crop and animal production, hunting and related service activities","","A01","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A011","Growing of non-perennial crops","","A011","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0111","Growing of cereals (except rice), leguminous crops and oil seeds","","A0111","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0112","Growing of rice","","A0112","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0113","Growing of vegetables and melons, roots and tubers","","A0113","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0114","Growing of sugar cane","","A0114","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0115","Growing of tobacco","","A0115","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0116","Growing of fibre crops","","A0116","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0119","Growing of other non-perennial crops","","A0119","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A012","Growing of perennial crops","","A012","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0121","Growing of grapes","","A0121","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0122","Growing of tropical and subtropical fruits","","A0122","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0123","Growing of citrus fruits","","A0123","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0124","Growing of pome fruits and stone fruits","","A0124","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0125","Growing of other tree and bush fruits and nuts","","A0125","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0126","Growing of oleaginous fruits","","A0126","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0127","Growing of beverage crops","","A0127","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0128","Growing of spices, aromatic, drug and pharmaceutical crops","","A0128","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0129","Growing of other perennial crops","","A0129","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A013","Plant propagation","","A013","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0130","Plant propagation","","A0130","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A014","Animal production","","A014","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0141","Raising of dairy cattle","","A0141","valid","2013-07-25"
