Province State,Country Region,Last Update,Confirmed,Deaths,Recovered,Lat,Long,FIPS,Admin2,Active,Combined Key,Incidence Rate,Case-Fatality Ratio
Bavaria,Germany,2020-01-28 23:00:00,4.0,,,,,,,,,,
Bavaria,Germany,2020-01-29 19:30:00,4.0,,,,,,,,,,
Bavaria,Germany,2020-01-30 16:00:00,4.0,,,,,,,,,,
Bavaria,Germany,2020-01-31 23:59:00,5.0,,,,,,,,,,
,Germany,2020-02-01 18:33:00,8.0,0.0,0.0,,,,,,,,
,Germany,2020-02-02 18:03:05,10.0,0.0,0.0,,,,,,,,
,Germany,2020-02-03 20:53:02,12.0,0.0,0.0,,,,,,,,
,Germany,2020-02-03 20:53:02,12.0,0.0,0.0,,,,,,,,
,Germany,2020-02-03 20:53:02,12.0,0.0,0.0,,,,,,,,
,Germany,2020-02-03 20:53:02,12.0,0.0,0.0,,,,,,,,
,Germany,2020-02-07 16:33:03,13.0,0.0,0.0,,,,,,,,
,Germany,2020-02-07 16:33:03,13.0,0.0,0.0,,,,,,,,
,Germany,2020-02-09 06:13:11,14.0,0.0,0.0,,,,,,,,
,Germany,2020-02-09 06:13:11,14.0,0.0,0.0,,,,,,,,
,Germany,2020-02-11 19:33:03,16.0,0.0,0.0,,,,,,,,
,Germany,2020-02-11 19:33:03,16.0,0.0,0.0,,,,,,,,
,Germany,2020-02-13 15:13:11,16.0,0.0,1.0,,,,,,,,
,Germany,2020-02-13 15:13:11,16.0,0.0,1.0,,,,,,,,
,Germany,2020-02-13 15:13:11,16.0,0.0,1.0,,,,,,,,
,Germany,2020-02-13 15:13:11,16.0,0.0,1.0,,,,,,,,
,Germany,2020-02-13 15:13:11,16.0,0.0,1.0,,,,,,,,
,Germany,2020-02-18 17:03:03,16.0,0.0,12.0,,,,,,,,
,Germany,2020-02-18 17:03:03,16.0,0.0,12.0,,,,,,,,
,Germany,2020-02-18 17:03:03,16.0,0.0,12.0,,,,,,,,
,Germany,2020-02-21 23:03:13,16.0,0.0,14.0,,,,,,,,
,Germany,2020-02-21 23:03:13,16.0,0.0,14.0,,,,,,,,
,Germany,2020-02-21 23:03:13,16.0,0.0,14.0,,,,,,,,
,Germany,2020-02-21 23:03:13,16.0,0.0,14.0,,,,,,,,
,Germany,2020-02-25 21:33:02,17.0,0.0,14.0,,,,,,,,
,Germany,2020-02-26 23:43:03,27.0,0.0,15.0,,,,,,,,
,Germany,2020-02-27 23:13:04,46.0,0.0,16.0,,,,,,,,
,Germany,2020-02-28 00:13:18,48.0,0.0,16.0,,,,,,,,
,Germany,2020-02-29 14:43:03,79.0,0.0,16.0,,,,,,,,
,Germany,2020-03-01 23:23:02,130.0,0.0,16.0,51.0,9.0,,,,,,
,Germany,2020-03-02 20:33:02,159.0,0.0,16.0,51.0,9.0,,,,,,
,Germany,2020-03-03 20:03:06,196.0,0.0,16.0,51.0,9.0,,,,,,
,Germany,2020-03-04 19:33:03,262.0,0.0,16.0,51.0,9.0,,,,,,
,Germany,2020-03-05 17:43:03,482.0,0.0,16.0,51.0,9.0,,,,,,
,Germany,2020-03-06 17:53:03,670.0,0.0,17.0,51.0,9.0,,,,,,
,Germany,2020-03-07 17:43:05,799.0,0.0,18.0,51.0,9.0,,,,,,
,Germany,2020-03-08 21:03:03,1040.0,0.0,18.0,51.0,9.0,,,,,,
,Germany,2020-03-09 18:13:11,1176.0,2.0,18.0,51.0,9.0,,,,,,
,Germany,2020-03-10 18:53:02,1457.0,2.0,18.0,51.0,9.0,,,,,,
