"DateTime","France","Germany","Italy","Spain"
"2020-05-07 23:51:40",,,,39
"2020-05-08 23:51:40",30,,31
"2020-05-11 23:51:40",,25
"2020-05-14 23:51:40",,,,42
"2020-05-15 23:51:40",30,,33
"2020-05-19 23:51:40",,24
"2020-05-21 23:51:40",,,,40
"2020-05-22 23:51:40",31,,34
"2020-05-26 23:51:40",,24
"2020-05-28 23:51:40",,,,40
"2020-05-29 23:51:40",31,,34
"2020-06-02 23:51:40",,24
"2020-06-03 23:51:40",,,33
"2020-06-04 23:51:40",,,,43
"2020-06-05 23:51:40",32
"2020-06-09 23:51:40",,24
"2020-06-10 23:51:40",,,36
"2020-06-11 23:51:40",,,,42
"2020-06-12 23:51:40",32
"2020-06-16 23:51:40",,25
"2020-06-17 23:51:40",,,30
"2020-06-18 23:51:40",,,,43
"2020-06-19 23:51:40",29
"2020-06-23 23:51:40",,25
"2020-06-24 23:51:40",,,31
"2020-06-25 23:51:40",,,,42
"2020-06-26 23:51:40",31
"2020-06-30 23:51:40",,26
