"DateTime","France","Germany","Italy","Spain"
"2020-03-04 23:51:40",,21
"2020-03-10 23:51:40",30
"2020-03-11 23:51:40",,,67
"2020-03-12 23:51:40",,,,38
"2020-03-13 23:51:40",38
"2020-03-16 23:51:40",,37
"2020-03-19 23:51:40",,,74,44
"2020-03-20 23:51:40",61
"2020-03-23 23:51:40",,49
"2020-03-25 23:51:40",,,72,50
"2020-03-27 23:51:40",68
"2020-03-30 23:51:40",,48
"2020-04-02 23:51:40",,,75,48
"2020-04-03 23:51:40",67
"2020-04-06 23:51:40",,47
"2020-04-08 23:51:40",,,,49
"2020-04-09 23:51:40",,,71
"2020-04-10 23:51:40",67
"2020-04-13 23:51:40",,44
"2020-04-16 23:51:40",,,72,45
"2020-04-17 23:51:40",64
"2020-04-20 23:51:40",,44
"2020-04-23 23:51:40",,,67,46
"2020-04-24 23:51:40",59
"2020-04-27 23:51:40",,43
"2020-04-30 23:51:40",,,69,45
"2020-05-01 23:51:40",63
"2020-05-04 23:51:40",,40
"2020-05-07 23:51:40",55,,61,57
"2020-05-13 23:51:40",,,62,59
"2020-05-14 23:51:40",57,34
"2020-05-20 23:51:40",56
"2020-05-25 23:51:40",,35
"2020-05-26 23:51:40",,,58
"2020-05-27 23:51:40",53
"2020-05-28 23:51:40",50,,,56
"2020-05-29 23:51:40",,31,56
"2020-06-02 23:51:40",,,58
"2020-06-04 23:51:40",51
"2020-06-08 23:51:40",,,,37
"2020-06-10 23:51:40",47,31,52
"2020-06-12 23:51:40",46,,,42
"2020-06-17 23:51:40",51,,56
"2020-06-18 23:51:40",,34
"2020-06-21 23:51:40",,,,41
"2020-06-23 23:51:40",,,52
"2020-06-24 23:51:40",51,,,58
"2020-06-25 23:51:40",,33,52,44
"2020-07-01 23:51:40",48
"2020-07-02 23:51:40",,36
"2020-07-07 23:51:40",,,56
"2020-07-08 23:51:40",,,52
"2020-07-09 23:51:40",48,35,,44
"2020-07-14 23:51:40",,,58
"2020-07-16 23:51:40",56,35,,43
"2020-07-21 23:51:40",,,59
"2020-07-22 23:51:40",56
"2020-07-23 23:51:40",,,,44
