record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,type_quarantine_days,type_mass_gathering,type_who_gen,source_corr_type,school_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,country_overwrite,missingDum,orphanDum,gov
R_dd4EOmqIRbdfJapAn,7343179,update,original,Change of Policy,Strengthening,"As of June, 22 2020, the health ministry of Lower Saxony (Germany) announced the cancellation of events with more than 1,000 participants until October 31, 2020. UPDATE: As of March 11, 2020, the health ministry of Lower Saxony (Germany) announced the cancellation of events with more than 1,000 participants until August 31, 2020. This has been extended to October 31, 2020 on June 22, 2020.",2020-06-22,2020-06-22,2020-10-31,Germany,DEU,DE,Provincial,0,Lower Saxony,NA,Restrictions of Mass Gatherings,All/Unspecified mass gatherings,NA,NA,1000,No special population targeted,NA,NA,Germany,NA,NA,Lower Saxony,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://www.ms.niedersachsen.de/startseite/service_kontakt/presseinformationen/absage-von-veranstaltungen-mit-mehr-als-1-000-teilnehmern-betretungsverbote-fur-ruckkehrer-aus-risikogebieten-186020.html,2020-07-14,2020-07-14T13:03:35Z,0,0,0,Lower Saxony
R_qOUYa35iAW11h5LNA,8280241,update,original,Change of Policy,Strengthening,"As of March 12, 2020 the state of Bremen (Germany) is prohibiting all mass gatherings and events with more than 1000 visitors. For smaller events, general hygienic measures have to be observed. The policy is extended on June 17 until end of October. UPDATE: The policy is extended until end of October.",2020-06-17,2020-06-17,2020-10-31,Germany,DEU,DE,Provincial,0,Bremen,NA,Restrictions of Mass Gatherings,All/Unspecified mass gatherings,NA,NA,1000,NA,NA,NA,Germany,NA,NA,Bremen,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government,Municipal Government,Police",NA,NA,NA,NA,https://www.amtliche-bekanntmachungen.bremen.de/sixcms/media.php/1624/Allgemeinverf%FCgung_Versammlungsverbot_100320_final.pdf,2020-07-27,2020-07-27T06:53:25Z,0,0,0,Bremen
R_xzlV0JneYRwSAG5Ci,8666078,new_entry,original,NA,NA,"On 3rd July 2020, the Swiss canton of Jura announced that wearing a mask in stores and businesses would be mandatory from 6th July 2020 on and for a duration of 2 months (until 6th September). Only children below 12 years old are not concerned by this policy and are allowed not to wear a mask.",2020-07-03,2020-07-06,2020-09-06,Switzerland,CHE,CH,Provincial,1,Jura,NA,Social Distancing,Other Mask Wearing Policy,NA,NA,NA,No special population targeted,NA,NA,Switzerland,NA,NA,Jura,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory with Exceptions (Please list exceptions in the text entry),Provincial/State Government,NA,NA,NA,NA,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-Le-Gouvernement-jurassien-rend-obligatoire-le-port-du-masque-dans-les-commerces-et-magasins-et-renforce-le-dispositif-d.html,2020-08-17,2020-08-17T07:44:37Z,0,0,0,Jura
R_1IXYx3CNXRkyxckAn,1229568,new_entry,original,NA,NA,"On May 4th, the government of Saxony enforces a regulation that all mass gatherings with more than 1000 people remain prohibited until August 31st 2020.",2020-04-30,2020-05-03,2020-08-31,Germany,DEU,DE,Provincial,1,Saxony,NA,Restrictions of Mass Gatherings,All/Unspecified mass gatherings,NA,NA,1000,No special population targeted,NA,NA,Germany,NA,NA,Saxony,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory with Fines,"Provincial/State Government,Police",NA,NA,NA,NA,https://www.coronavirus.sachsen.de/amtliche-bekanntmachungen.html?_cp=%7B%22accordion-content-6511%22%3A%7B%222%22%3Atrue%2C%227%22%3Atrue%2C%2210%22%3Atrue%2C%2212%22%3Atrue%2C%2213%22%3Atrue%2C%2214%22%3Atrue%2C%2216%22%3Atrue%7D%2C%22previousOpen%22%3A%7B%22group%22%3A%22accordion-content-6511%22%2C%22idx%22%3A2%7D%7D#a-7056,2020-07-16,2020-07-16T12:41:34Z,0,0,0,Saxony
R_po7B9X6CldldDGxNA,1430971,new_entry,correction,NA,NA,In Brandenburg (Germany) all events with more than 1000 participants are prohibited from May 9 until August 31.,2020-05-08,2020-05-09,2020-10-31,Germany,DEU,DE,Provincial,0,Brandenburg,NA,Restrictions of Mass Gatherings,All/Unspecified mass gatherings,NA,NA,1000,No special population targeted,Use the old source,NA,Germany,NA,NA,Brandenburg,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://bravors.brandenburg.de/verordnungen/grossveranstverbv/2,2020-08-24,2020-08-24T07:53:00Z,0,0,0,Brandenburg
R_1HepS3Sb89rj1UPNA,2513799,new_entry,correction,NA,NA,"On 1.5., the government of Schleswig-Holstein announced that in accordance with other German states, events with over 1000 participants will remain prohibited until 31.8..",2020-05-01,2020-05-04,2020-08-31,Germany,DEU,DE,Provincial,0,Schleswig-Holstein,NA,Restrictions of Mass Gatherings,All/Unspecified mass gatherings,NA,NA,1000,No special population targeted,Use the old source,NA,Germany,NA,NA,Schleswig-Holstein,NA,NA,13,NA,NA,Mandatory with Fines,Police,NA,NA,NA,NA,https://transparenz.schleswig-holstein.de/,2020-07-15,2020-07-15T05:41:32Z,0,0,0,Schleswig-Holstein
R_ThN8xXwNhYO9QmRCi,5960552,new_entry,original,NA,NA,"In Italy, the region of Lombardy on April 30 issues new order on further regulation of public transportation during the epidemic valid from May 4 to August 31 2020",2020-04-30,2020-05-04,2020-08-31,Italy,ITA,IT,Provincial,1,Lombardy,NA,Social Distancing,Other Mask Wearing Policy,NA,NA,NA,NA,NA,NA,Italy,NA,NA,Lombardy,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory with Fines,"Provincial/State Government,Police",NA,NA,NA,NA,https://www.regione.lombardia.it/wps/wcm/connect/1aebe960-eb69-42cb-ae81-0ffb1815802b/ord_538_30aprile2020.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-1aebe960-eb69-42cb-ae81-0ffb1815802b-n7PIZXx,2020-06-04,2020-06-04T14:38:37Z,0,0,0,Lombardy
R_XG31ZrWSAaPRuffAn,6221664,update,original,Change of Policy,Strengthening,"As of May 31, the state of Hamburg announced that events up 50 participants may be allowed in case of implemented security measures - especially sufficient distance between participants. On June 30, the limit was set up to 1.000, however preserving the security measures. UPDATE: On May June 30, the state of Hamburg initiated a regulation which set the limit for participants of events to 1.000 under the condition of certain security measurements (e.g. distance of 1.5m).",2020-06-30,2020-07-01,2020-08-31,Germany,DEU,DE,Provincial,1,Hamburg,NA,Restrictions of Mass Gatherings,All/Unspecified mass gatherings,NA,NA,1000,No special population targeted,NA,NA,Germany,NA,NA,Hamburg,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory with Fines,"Provincial/State Government,Police",NA,NA,NA,NA,https://lexcorona.de/lib/exe/fetch.php?media=rechtsakteland:hamburg:2356.pdf,2020-07-18,2020-07-18T22:40:02Z,0,0,1,Hamburg
R_3Gk87mzUR9dhvWKAn,6221664,update,correction,NA,Strengthening,"As of May 31, the state of Hamburg announced that events up 50 participants may be allowed in case of implemented security measures - especially sufficient distance between participants. On June 30, the limit was set up to 1.000, however preserving the security measures. 1000 is for fixed seats open air (closed rooms 650), with fixed seats open air up to 200 participants (closed rooms 100). If alcohol is served, the maximum of participants for events without fixed seats is halved. UPDATE: On May June 30, the state of Hamburg initiated a regulation which set the limit for participants of events to 1.000 under the condition of certain security measurements (e.g. distance of 1.5m).",2020-06-30,2020-07-01,2020-08-31,Germany,DEU,DE,Provincial,0,Hamburg,NA,Restrictions of Mass Gatherings,All/Unspecified mass gatherings,NA,NA,1000,No special population targeted,Use the old source,NA,Germany,NA,NA,Hamburg,NA,NA,13,NA,NA,Mandatory with Fines,"Provincial/State Government,Police",NA,NA,NA,NA,https://lexcorona.de/lib/exe/fetch.php?media=rechtsakteland:hamburg:2356.pdf,2020-07-18,2020-07-18T22:46:55Z,0,0,1,Hamburg
R_2Xjtxdl34Ddhm9bAh,6547663,update,original,Change of Policy,Strengthening,"Germany: On March 16th the federal government decided to prohibit all gatherings in  events or gatherings. This also refers to club meetings and church services. 

05.06.2020: Huge public events are still prohibited. It is expected until 08.31.2020. UPDATE: Huge public events are not allowed yet. As it looks like they are not possible until 08.31.2020",2020-05-06,2020-05-06,2020-08-31,Germany,DEU,DE,National,0,NA,NA,Restrictions of Mass Gatherings,All/Unspecified mass gatherings,NA,NA,NA,No special population targeted,NA,NA,Germany,NA,NA,NA,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",NA,NA,NA,NA,https://www.bundesregierung.de/breg-de/aktuelles/vereinbarung-zwischen-der-bundesregierung-und-den-regierungschefinnen-und-regierungschefs-der-bundeslaender-angesichts-der-corona-epidemie-in-deutschland-1730934,2020-07-23,2020-07-23T12:46:43Z,0,0,0,Germany
