AnzahlFall,Datum,FID,IstErkrankungsbeginn
1.0,2020-03-02 01:00:00,12719957,1.0
1.0,2020-03-02 01:00:00,12721827,1.0
1.0,2020-03-02 01:00:00,12722575,1.0
1.0,2020-03-02 01:00:00,12723697,1.0
1.0,2020-03-02 01:00:00,12724819,1.0
1.0,2020-03-02 01:00:00,12724820,0.0
4.0,2020-03-02 01:00:00,12725193,1.0
1.0,2020-03-02 01:00:00,12725567,1.0
1.0,2020-03-02 01:00:00,12725941,1.0
1.0,2020-03-02 01:00:00,12727063,1.0
2.0,2020-03-02 01:00:00,12729307,1.0
1.0,2020-03-02 01:00:00,12730055,1.0
1.0,2020-03-02 01:00:00,12730429,1.0
1.0,2020-03-02 01:00:00,12733421,1.0
2.0,2020-03-02 01:00:00,12734917,1.0
1.0,2020-03-02 01:00:00,12735291,1.0
1.0,2020-03-02 01:00:00,12737161,1.0
1.0,2020-03-02 01:00:00,12737535,1.0
1.0,2020-03-02 01:00:00,12739031,1.0
1.0,2020-03-02 01:00:00,12740153,1.0
1.0,2020-03-02 01:00:00,12740901,1.0
1.0,2020-03-02 01:00:00,12742397,1.0
2.0,2020-03-02 01:00:00,12743145,1.0
4.0,2020-03-02 01:00:00,12743519,1.0
3.0,2020-03-02 01:00:00,12743893,1.0
1.0,2020-03-02 01:00:00,12744641,1.0
1.0,2020-03-02 01:00:00,12745763,1.0
3.0,2020-03-02 01:00:00,12746511,1.0
6.0,2020-03-02 01:00:00,12749129,1.0
1.0,2020-03-02 01:00:00,12749503,1.0
13.0,2020-03-02 01:00:00,12749877,1.0
1.0,2020-03-02 01:00:00,12750999,1.0
34.0,2020-03-02 01:00:00,12751373,1.0
2.0,2020-03-02 01:00:00,12751374,0.0
3.0,2020-03-02 01:00:00,12752121,1.0
1.0,2020-03-02 01:00:00,12752495,1.0
1.0,2020-03-02 01:00:00,12753243,1.0
2.0,2020-03-02 01:00:00,12753617,1.0
1.0,2020-03-02 01:00:00,12753991,1.0
3.0,2020-03-02 01:00:00,12754365,1.0
1.0,2020-03-02 01:00:00,12754739,1.0
1.0,2020-03-02 01:00:00,12756609,1.0
2.0,2020-03-02 01:00:00,12757357,1.0
1.0,2020-03-02 01:00:00,12758479,1.0
1.0,2020-03-02 01:00:00,12758853,1.0
1.0,2020-03-02 01:00:00,12763715,1.0
1.0,2020-03-02 01:00:00,12764089,1.0
1.0,2020-03-02 01:00:00,12765585,1.0
2.0,2020-03-02 01:00:00,12765959,1.0
1.0,2020-03-02 01:00:00,12767455,1.0
1.0,2020-03-02 01:00:00,12770073,1.0
1.0,2020-03-02 01:00:00,12770447,1.0
1.0,2020-03-02 01:00:00,12771195,1.0
1.0,2020-03-02 01:00:00,12774561,1.0
1.0,2020-03-02 01:00:00,12774935,1.0
1.0,2020-03-02 01:00:00,12777179,1.0
2.0,2020-03-02 01:00:00,12777553,1.0
2.0,2020-03-02 01:00:00,12782789,1.0
1.0,2020-03-02 01:00:00,12783537,1.0
1.0,2020-03-02 01:00:00,12785033,1.0
1.0,2020-03-02 01:00:00,12785407,1.0
5.0,2020-03-02 01:00:00,12786155,1.0
1.0,2020-03-02 01:00:00,12786529,1.0
6.0,2020-03-02 01:00:00,12786903,1.0
1.0,2020-03-02 01:00:00,12787277,1.0
8.0,2020-03-02 01:00:00,12787651,1.0
1.0,2020-03-02 01:00:00,12788025,1.0
3.0,2020-03-02 01:00:00,12788773,1.0
1.0,2020-03-02 01:00:00,12789147,1.0
1.0,2020-03-02 01:00:00,12789521,1.0
