AnzahlFall,Datum,FID,IstErkrankungsbeginn
2.0,2020-05-15 02:00:00,12741424,0.0
2.0,2020-05-15 02:00:00,12741797,1.0
1.0,2020-05-15 02:00:00,12742171,1.0
6.0,2020-05-15 02:00:00,12742545,1.0
6.0,2020-05-15 02:00:00,12742546,0.0
5.0,2020-05-15 02:00:00,12743293,1.0
8.0,2020-05-15 02:00:00,12743294,0.0
6.0,2020-05-15 02:00:00,12743667,1.0
5.0,2020-05-15 02:00:00,12743668,0.0
1.0,2020-05-15 02:00:00,12744041,1.0
5.0,2020-05-15 02:00:00,12744042,0.0
6.0,2020-05-15 02:00:00,12744415,1.0
4.0,2020-05-15 02:00:00,12744416,0.0
4.0,2020-05-15 02:00:00,12744789,1.0
6.0,2020-05-15 02:00:00,12744790,0.0
1.0,2020-05-15 02:00:00,12746659,1.0
3.0,2020-05-15 02:00:00,12746660,0.0
1.0,2020-05-15 02:00:00,12747033,1.0
3.0,2020-05-15 02:00:00,12747034,0.0
4.0,2020-05-15 02:00:00,12747407,1.0
1.0,2020-05-15 02:00:00,12748156,0.0
1.0,2020-05-15 02:00:00,12748529,1.0
1.0,2020-05-15 02:00:00,12748903,1.0
1.0,2020-05-15 02:00:00,12749277,1.0
8.0,2020-05-15 02:00:00,12749278,0.0
2.0,2020-05-15 02:00:00,12749651,1.0
1.0,2020-05-15 02:00:00,12749652,0.0
2.0,2020-05-15 02:00:00,12750025,1.0
2.0,2020-05-15 02:00:00,12750399,1.0
3.0,2020-05-15 02:00:00,12750400,0.0
1.0,2020-05-15 02:00:00,12750774,0.0
1.0,2020-05-15 02:00:00,12751147,1.0
1.0,2020-05-15 02:00:00,12751148,0.0
10.0,2020-05-15 02:00:00,12751521,1.0
12.0,2020-05-15 02:00:00,12751522,0.0
1.0,2020-05-15 02:00:00,12751895,1.0
1.0,2020-05-15 02:00:00,12751896,0.0
1.0,2020-05-15 02:00:00,12752269,1.0
1.0,2020-05-15 02:00:00,12752643,1.0
30.0,2020-05-15 02:00:00,12752644,0.0
2.0,2020-05-15 02:00:00,12753391,1.0
4.0,2020-05-15 02:00:00,12753392,0.0
6.0,2020-05-15 02:00:00,12753765,1.0
1.0,2020-05-15 02:00:00,12753766,0.0
2.0,2020-05-15 02:00:00,12754139,1.0
