country,date,type,geo,population,cases,cases_national,new_cases,new_cases_national,sum_pop,cases_pop_sub,cases_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2,rolling_average,past_average,rolling_average_new_cases,past_average_new_cases,past_average_new_cases_national,measure_H1_H2,measure_H3,past_average_national_new_cases,policy_active,hetero,hetero_mean,differentiating,hhi_cumulative,hhi_new
France,2020-01-01,Lockdown,FRK,8005882,0,0,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-01,Other Mask Wearing Policy,FRK,8005882,0,0,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-01,Secondary Schools (generally for children ages 10 to 18),FRK,8005882,0,0,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-01,Restrictions of Mass Gatherings,FRK,8005882,0,0,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-02,Secondary Schools (generally for children ages 10 to 18),FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-02,Lockdown,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-02,Other Mask Wearing Policy,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-02,Restrictions of Mass Gatherings,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-03,Other Mask Wearing Policy,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-03,Secondary Schools (generally for children ages 10 to 18),FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-03,Lockdown,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-03,Restrictions of Mass Gatherings,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-04,Secondary Schools (generally for children ages 10 to 18),FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-04,Other Mask Wearing Policy,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-04,Lockdown,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-04,Restrictions of Mass Gatherings,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-05,Other Mask Wearing Policy,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-05,Secondary Schools (generally for children ages 10 to 18),FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-05,Lockdown,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-05,Restrictions of Mass Gatherings,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-06,Other Mask Wearing Policy,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-06,Secondary Schools (generally for children ages 10 to 18),FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-06,Lockdown,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-06,Restrictions of Mass Gatherings,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-07,Lockdown,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-07,Other Mask Wearing Policy,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-07,Secondary Schools (generally for children ages 10 to 18),FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-07,Restrictions of Mass Gatherings,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-08,Lockdown,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-08,Other Mask Wearing Policy,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-08,Restrictions of Mass Gatherings,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-08,Secondary Schools (generally for children ages 10 to 18),FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-09,Lockdown,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-09,Secondary Schools (generally for children ages 10 to 18),FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-09,Other Mask Wearing Policy,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-09,Restrictions of Mass Gatherings,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-10,Restrictions of Mass Gatherings,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-10,Lockdown,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-10,Secondary Schools (generally for children ages 10 to 18),FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-10,Other Mask Wearing Policy,FRK,8005882,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
