date,region,keine gedanken,milden verlauf,schweren verlauf,toedlichen ausgang
2020-03-22,Gesamtschweiz,0.20,0.51,0.25,0.04
2020-03-22,Deutschschweiz,0.15,0.58,0.25,0.02
2020-03-22,Romandie,0.34,0.31,0.30,0.05
2020-03-22,italSchweiz,0.11,0.47,0.37,0.05
,Gesamtschweiz,0.23,0.53,0.21,0.03
,Deutschschweiz,0.19,0.59,0.19,0.03
,Romandie,0.35,0.35,0.24,0.06
,italSchweiz,0.19,0.46,0.31,0.04
2020-05-03,Gesamtschweiz,0.24,0.55,0.19,0.02
2020-05-03,Deutschschweiz,0.21,0.60,0.17,0.02
2020-05-03,Romandie,0.32,0.41,0.24,0.03
2020-05-03,italSchweiz,0.18,0.48,0.32,0.02
2020-06-07,Gesamtschweiz,0.31,0.51,0.16,0.02
2020-06-07,Deutschschweiz,0.27,0.55,0.16,0.02
2020-06-07,Romandie,0.42,0.39,0.15,0.04
2020-06-07,italSchweiz,0.18,0.54,0.26,0.02
